id,titulo,texto,categoria,palabras_clave,nivel_dificultad,fuente
82,Diseño de sistemas de diseño con Storybook,"Workshop práctico: Diseño de sistemas de diseño con Storybook. Trabajaremos con Angular, Chakra UI y Sass en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Frontend. El contenido también cubre errores comunes al usar WebAssembly.",Frontend,"Angular, Chakra UI, Sass, Webpack, GSAP",Intermedio,Tutorial
83,Replicación y alta disponibilidad en MySQL,"Deep dive sobre Replicación y alta disponibilidad en MySQL. Analizamos arquitecturas modernas que combinan T-SQL y Elasticsearch. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Bases de Datos. Se incluyen ejemplos usando DynamoDB y Redis.",Bases de Datos,"T-SQL, Elasticsearch, CDC, consultas",Avanzado,Wiki interna
84,Optimización de pipelines CI/CD para velocidad,Serie de tutoriales: Optimización de pipelines CI/CD para velocidad. Parte 1: configuración inicial con Linux. Parte 2: integración con Prometheus. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para DevOps. Incluye una sección de preguntas frecuentes sobre New Relic.,DevOps,"Linux, Prometheus, infraestructura como código, ArgoCD, despliegue, Travis CI",Intermedio,GitHub
85,Migración de workloads on-premise a la nube,"Documentación técnica sobre Migración de workloads on-premise a la nube. Se detallan las configuraciones necesarias para Azure DevOps y cloud native, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. Finalmente, se revisan consideraciones de rendimiento con backup.",Cloud,"Azure DevOps, cloud native, Route 53",Avanzado,Wiki interna
86,Gestión de estado con Zustand en React,"Guía de referencia rápida: Gestión de estado con Zustand en React. Consulta práctica sobre CSS y Framer Motion para resolver problemas cotidianos en Frontend. Incluye snippets de código y comandos útiles. Además, se discute la integración con DOM.",Frontend,"CSS, Framer Motion, Tailwind",Intermedio,Medium
87,Monitoreo de aplicaciones con Datadog,"Introducción práctica a Monitoreo de aplicaciones con Datadog. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Helm, Jenkins y Datadog. Perfecto para equipos que inician proyectos de DevOps. Se proporciona una comparativa entre SRE y Travis CI.",DevOps,"Helm, Jenkins, Datadog, Nginx, Istio, HAProxy",Intermedio,Tutorial
88,Infraestructura de claves públicas PKI,"Introducción práctica a Infraestructura de claves públicas PKI. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Kali Linux, SAML y ABAC. Perfecto para equipos que inician proyectos de Seguridad. Se proporciona una comparativa entre Splunk y Nmap.",Seguridad,"Kali Linux, SAML, ABAC, WAF, CSRF",Básico,Libro técnico
89,Implementación de notificaciones push en iOS,"Análisis de caso: Implementación de notificaciones push en iOS. Revisamos cómo una empresa migró de Retrofit a Core Data en su plataforma de Mobile. Métricas, resultados y recomendaciones.",Mobile,"Retrofit, Core Data, Android, Realm, MVVM, Biometría",Intermedio,Medium
90,Patrón BLoC en aplicaciones Dart,"Proyecto guiado: Patrón BLoC en aplicaciones Dart. Construye paso a paso una solución completa usando Expo, Kotlin y Dart. Enfocado en Mobile con código disponible en GitHub.",Mobile,"Expo, Kotlin, Dart, GPS, Swift",Avanzado,Medium
91,Blockchain para autenticación descentralizada,"En este contenido se presentan los conceptos fundamentales de Blockchain para autenticación descentralizada. Se explica paso a paso cómo implementar soluciones prácticas utilizando SSO y ABAC, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Seguridad. Se incluyen ejemplos usando phishing y autorización.",Seguridad,"SSO, ABAC, SAML, compliance, HSM",Intermedio,GitHub
92,Procedimientos almacenados y triggers en PostgreSQL,"Deep dive sobre Procedimientos almacenados y triggers en PostgreSQL. Analizamos arquitecturas modernas que combinan DBeaver y CAP theorem. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Bases de Datos. Además, se discute la integración con MongoDB.",Bases de Datos,"DBeaver, CAP theorem, normalización, transacciones, ACID, Firestore",Básico,Curso online
93,Orquestación de contenedores con EKS y GKE,"Curso intensivo de Orquestación de contenedores con EKS y GKE. Domina Cloud Run, EC2 y almacenamiento a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Cloud. Incluye una sección de preguntas frecuentes sobre GKE.",Cloud,"Cloud Run, EC2, almacenamiento, redes, AKS, EKS",Intermedio,Webinar
94,Gestión de identidades y accesos con IAM,"Análisis de caso: Gestión de identidades y accesos con IAM. Revisamos cómo una empresa migró de migración a CloudWatch en su plataforma de Cloud. Métricas, resultados y recomendaciones. Incluye una sección de preguntas frecuentes sobre autoescalado.",Cloud,"migración, CloudWatch, S3, GCP, Azure DevOps",Avanzado,Wiki interna
95,Configuración de firewalls y reglas de acceso,"Masterclass de Configuración de firewalls y reglas de acceso. Se profundiza en IPS, Splunk y auditoría con casos de estudio de empresas reales. Incluye ejercicios de Seguridad para consolidar el aprendizaje.",Seguridad,"IPS, Splunk, auditoría, SAML",Intermedio,Webinar
96,Migración de workloads on-premise a la nube,"Proyecto guiado: Migración de workloads on-premise a la nube. Construye paso a paso una solución completa usando multi-cloud, SQS y alta disponibilidad. Enfocado en Cloud con código disponible en GitHub.",Cloud,"multi-cloud, SQS, alta disponibilidad, GKE, autoescalado",Básico,Wiki interna
97,Diseño responsive con Tailwind CSS,"Artículo técnico sobre Diseño responsive con Tailwind CSS. Comparativa entre GSAP y Sass: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Frontend.",Frontend,"GSAP, Sass, PWA, Prettier, Tailwind, Recoil",Avanzado,Documentación oficial
98,Construcción de interfaces con React y TypeScript,"Guía de referencia rápida: Construcción de interfaces con React y TypeScript. Consulta práctica sobre SSR y React para resolver problemas cotidianos en Frontend. Incluye snippets de código y comandos útiles. Finalmente, se revisan consideraciones de rendimiento con Bootstrap.",Frontend,"SSR, React, ESLint, Material UI, JavaScript, Jest",Avanzado,Webinar
99,Búsqueda full-text con Elasticsearch,"Charla técnica: Búsqueda full-text con Elasticsearch. Se discuten los desafíos de implementar CockroachDB y indexación en escenarios reales de Bases de Datos. Lecciones aprendidas y errores a evitar. Además, se discute la integración con PL/SQL.",Bases de Datos,"CockroachDB, indexación, procedimientos almacenados",Avanzado,Curso online
100,Optimización de consultas SQL en PostgreSQL,"Artículo técnico sobre Optimización de consultas SQL en PostgreSQL. Comparativa entre ORM y Ruby on Rails: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Backend.",Backend,"ORM, Ruby on Rails, JSON, base de datos",Avanzado,Libro técnico
101,Procesamiento distribuido con Dask,"Deep dive sobre Procesamiento distribuido con Dask. Analizamos arquitecturas modernas que combinan análisis de datos y Scikit-learn. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Data Science. Incluye una sección de preguntas frecuentes sobre visualización.",Data Science,"análisis de datos, Scikit-learn, CatBoost, Python, Transformers, PyTorch",Intermedio,Blog técnico
102,Protección DDoS con WAF y CDN,"Masterclass de Protección DDoS con WAF y CDN. Se profundiza en OpenID, OAuth y ciberseguridad con casos de estudio de empresas reales. Incluye ejercicios de Seguridad para consolidar el aprendizaje. El contenido también cubre errores comunes al usar ABAC.",Seguridad,"OpenID, OAuth, ciberseguridad, OWASP",Intermedio,Dev.to
103,Inyección de dependencias en NestJS,Guía de referencia rápida: Inyección de dependencias en NestJS. Consulta práctica sobre microservicios y token para resolver problemas cotidianos en Backend. Incluye snippets de código y comandos útiles. Se incluyen ejemplos usando gRPC y Node.js.,Backend,"microservicios, token, Docker, base de datos, Node.js, Jest",Básico,YouTube
104,CDN y distribución de contenido con CloudFront,"Curso intensivo de CDN y distribución de contenido con CloudFront. Domina GKE, SNS y Pub/Sub a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Cloud. Incluye una sección de preguntas frecuentes sobre Cloud Functions.",Cloud,"GKE, SNS, Pub/Sub, redes",Básico,GitHub
105,Despliegue de aplicaciones en Google Cloud Run,Serie de tutoriales: Despliegue de aplicaciones en Google Cloud Run. Parte 1: configuración inicial con Cloud Functions. Parte 2: integración con S3. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Cloud.,Cloud,"Cloud Functions, S3, Cloud SQL",Avanzado,Documentación oficial
106,Optimización de rendimiento en APIs Node.js,"Guía completa sobre Optimización de rendimiento en APIs Node.js. Aprenderás a trabajar con microservicios, Postman y Kubernetes desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Backend. Se proporciona una comparativa entre JUnit y Mockito.",Backend,"microservicios, Postman, Kubernetes",Intermedio,GitHub
107,Acceso a hardware: cámara y GPS en Flutter,"En este contenido se presentan los conceptos fundamentales de Acceso a hardware: cámara y GPS en Flutter. Se explica paso a paso cómo implementar soluciones prácticas utilizando Dart y API móvil, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Mobile. Además, se discute la integración con SwiftUI.",Mobile,"Dart, API móvil, SQLite, Riverpod, Android, Firebase",Avanzado,Tutorial
108,Construcción de modelos de regresión con Scikit-learn,"Análisis de caso: Construcción de modelos de regresión con Scikit-learn. Revisamos cómo una empresa migró de Airflow a NLP en su plataforma de Data Science. Métricas, resultados y recomendaciones. Se incluyen ejemplos usando Keras y Keras.",Data Science,"Airflow, NLP, clustering, Spark, ETL, Keras",Avanzado,Blog técnico
109,Estrategias de backup y recuperación de desastres,"Proyecto guiado: Estrategias de backup y recuperación de desastres. Construye paso a paso una solución completa usando backup, cloud native y migración. Enfocado en Cloud con código disponible en GitHub.",Cloud,"backup, cloud native, migración, autoescalado",Avanzado,Medium
110,Estrategias de rollback en despliegues productivos,"Masterclass de Estrategias de rollback en despliegues productivos. Se profundiza en Packer, Linux y Terraform con casos de estudio de empresas reales. Incluye ejercicios de DevOps para consolidar el aprendizaje. Incluye una sección de preguntas frecuentes sobre Vagrant.",DevOps,"Packer, Linux, Terraform, logs, infraestructura como código",Básico,Libro técnico
111,Automatización de infraestructura con Pulumi,"Workshop práctico: Automatización de infraestructura con Pulumi. Trabajaremos con bash, HAProxy y Jenkins en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en DevOps. Incluye una sección de preguntas frecuentes sobre Jaeger.",DevOps,"bash, HAProxy, Jenkins, Terraform, Pulumi, Vagrant",Avanzado,GitHub
112,Cumplimiento normativo GDPR en aplicaciones,"Análisis de caso: Cumplimiento normativo GDPR en aplicaciones. Revisamos cómo una empresa migró de encriptación a ciberseguridad en su plataforma de Seguridad. Métricas, resultados y recomendaciones. El contenido también cubre errores comunes al usar XSS.",Seguridad,"encriptación, ciberseguridad, autenticación, SSO, XSS",Básico,YouTube
113,Seguridad en entornos cloud multi-cuenta,"Tutorial avanzado de Seguridad en entornos cloud multi-cuenta. Exploramos la integración de costos con alta disponibilidad para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción. Se proporciona una comparativa entre alta disponibilidad y Cloud Storage.",Cloud,"costos, alta disponibilidad, Pub/Sub, RDS, CloudWatch",Básico,Libro técnico
114,Implementación de GraphQL en APIs existentes,"Documentación técnica sobre Implementación de GraphQL en APIs existentes. Se detallan las configuraciones necesarias para GraphQL y Entity Framework, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. Se proporciona una comparativa entre Spring Boot y RabbitMQ.",Backend,"GraphQL, Entity Framework, Maven, OpenAPI, .NET",Básico,Dev.to
